Unique Initial Types,Priority
ABDUCTION - NO KNOWN KIDNAPPING,3
"ALARM - ATM MACHINE, FREE STANDING",3
ALARM - AUDIBLE AUTOMOBILE (UNOCC/ANTI-THEFT),3
"ALARM - COMM, HOLD-UP/PANIC (EXCEPT BANKS)",3
"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",3
"ALARM - DURESS/PANIC,TAXI/CAR/PRSN - NOT DV",3
"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",3
ANIMAL - DANGEROUS,3
"ANIMAL - INJURED, DEAD HAZARD, OTHER",3
ANIMAL BITE,3
ARSON - REPORT,3
ASLT - DV,3
"ASLT - MOLESTED ADULT (GROPED, FONDLED, ETC.)",3
ASLT - REPORT FOR PERSON SHOT OR SHOT AT,3
ASLT - WITH OR W/O WPNS (NO SHOOTINGS),3
"ASSAULTS - HARASSMENT, THREATS",3
ASSIST OTHER AGENCY - ROUTINE SERVICE,3
ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,3
ASSIST SPD,3
AUTO - THEFT/LOSS OF PLATES,3
AUTO RECOVERY,3
AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,3
AWOL - ADULT OR JUVENILE,3
BIAS,3
BOMB - THREATS,3
BURG - COMM BURGLARY,3
BURG - RESD (INCL UNOCC STRUCTURES ON PROP),3
BURN - RECKLESS BURNING,3
CARJACKING - ROBBERY,3
CHILD -  LURING,3
"CHILD - ABAND, ABUSE, MOLEST, NEGLECT",3
CUSTODIAL INTERFERENCE - DV,3
DEMONSTRATIONS,3
DETOX - REQUEST FOR,3
DISTURBANCE,3
DISTURBANCE - DV - NO ASLT,3
DOWN - CHECK FOR DOWN PERSON,3
DUI - DRIVING UNDER INFLUENCE,3
ESCAPE - PRISONER,3
EXPLOSION,3
FIGHT - PHYSICAL (NO WEAPONS),3
FIGHT - WITH WEAPONS,3
FIREWORKS (NO HAZARD),3
FOLLOW UP,3
FOUND PERSON,3
FRAUD,3
GAMBLING,3
HARAS - NO BIAS OR THREATS,3
"HARBOR - WATER DEBRIS, NAVIGATIONAL HAZARDS",3
HARBOR - WATER NON-EMERGENCIES,3
HAZ - POTENTIAL THRT TO PHYS SAFETY,3
ILLEGAL DUMPING,3
INFORMATIONAL BROADCASTS,3
INJURED -  PERSON/INDUSTRIAL ACCIDENT,3
JUVENILE - RUNAWAY,3
JUVENILE - RUNAWAY PICKUP,3
"LEWD -  (EXPOSING, FLASHING)",3
LICENSE INSPECTIONS (CHECK FOR),3
LIQUOR VIOLATIONS - ADULT,3
LIQUOR VIOLATIONS - BUSINESS,3
LIQUOR VIOLATIONS - MINOR,3
LITTERING,3
MISSING - ADULT,3
MISSING - CHILD,3
MVC - COLLISION (ALL),3
MVC - HIT AND RUN,3
NARCOTICS - FOUND,3
"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",3
"NARCOTICS WARRANT SERVICE - EXECUTED, SECURED",3
NOISE - ANIMAL (INCLUDES BARKING DOGS),3
NOISE - GENERAL,3
NUISANCE,3
"OBS - NOISE - DISTURBANCE (PARTY, ETC)",3
OBS - PROWLER,3
OBS - PURSE SNATCH - ROBBERY,3
"OBS - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",3
"OPEN - BUILDING, DOOR, ETC.",3
ORDER  - SERVICE OF DV COURT ORDER,3
ORDER - ASSIST DV VIC W/SRVC OF COURT ORDER,3
ORDER - VIOLATING DV COURT ORDER,3
ORDER - VIOLATION OF COURT ORDER (NON DV),3
"PANHANDLING, AGGRESSIVE",3
PARKING VIOLATION (EXCEPT ABANDONED CAR),3
PARKS VIOLATIONS/CITES (INCLUDES EXCLUSIONS),3
PEACE-STANDBY TO ASSURE (NO COURT ORDR SVC),3
PEDESTRIAN VIOLATIONS,3
PERSON - MISSING PERSON,3
PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,3
PHONE - OBSCENE OR NUISANCE PHONE CALLS,3
POWER OUT - POLES AND TRANSFORMERS,3
"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",3
PROPERTY - DAMAGE,3
PROPERTY - DAMAGE (GUN RELATED),3
PROPERTY - FOUND,3
"PROPERTY - FOUND GUN, SHELLCASINGS",3
PROPERTY - LOST OR MISSING,3
PUBLIC DISPLAY OF PORNOGRAPHY,3
RAPE,3
REQUEST TO WATCH,3
ROBBERY (INCL STRONG ARM),3
SERVICE - WELFARE CHECK,3
SEX IN PUBLIC PLACE (INCL MASTURBATION),3
SFD - ASSIST ON FIRE OR MEDIC RESPONSE,3
SHOPLIFT - THEFT,3
SHOTS HEARD - DELAY,3
SUICIDE - SUICIDAL PERSON AND ATTEMPTS,3
SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,3
SUSPICIOUS PACKAGE,3
"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",3
THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),3
THEFT OF SERVICES,3
THREATS - DV - NO ASSAULT,3
THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),3
TRAFFIC - ASSIST MOTORIST,3
TRAFFIC - BLOCKING ROADWAY,3
TRAFFIC - BO SIGNALS AND DOWN SIGNS,3
TRAFFIC - MOVING VIOLATION,3
TRAFFIC - ROAD RAGE,3
"TREES DOWN, OBSTRUCTING PUBLIC PROP (NO HAZ)",3
TRESPASS,3
TRU - AUTO THEFT,3
TRU - COMMERCIAL BURGLARY,3
TRU - DISTURBANCE,3
TRU - FOLLOW UP,3
TRU - FRAUD,3
TRU - HARASSMENT,3
TRU - JUVENILE - RUNAWAY,3
TRU - MISSING ADULT,3
TRU - MVC - HIT AND RUN,3
TRU - SHOPLIFT,3
TRU - SUSPICIOUS CIRCUMSTANCES,3
TRU - THEFT,3
TRU - THEFT/LOSS OF PLATES,3
TRU - VEHICLE COLLISION,3
"URINATING, DEFECATING IN PUBLIC",3
VICE - PROSTITUTION,3
WARRANT - FELONY PICKUP,3
WARRANT - MISD PICKUP,3
"WARRANT - SEARCH. EXECUTED, SECURED",3
WARRANT PICKUP - FROM OTHER AGENCY,3
"WATER FLOODS (BROKEN MAINS/HYDRANTS, NO HAZ)",3
"WEAPN - GUN,DEADLY WPN (NO THRTS/ASLT/DIST)",3
"WIRES DOWN (PHONE, ELECTRICAL,ETC.)",3
