CAD Event Number,CAD Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,CAD Event Original Time Queued,CAD Event Arrived Time,Dispatch Precinct,Dispatch Sector,Dispatch Beat,Dispatch Longitude,Dispatch Latitude,Dispatch Reporting Area,CAD Event Response Category,Call Sign Dispatch ID,Call Sign Dispatch Time,First CARE Call Sign At Scene Time,First CARE Call Sign Dispatch Time,First Co-Response Call Sign At Scene Time,First Co-Response Call Sign Dispatch Time,First SPD Call Sign at Scene Time,First SPD Call Sign Dispatch Time,Last CARE Call Sign In-Service Time,Last Co-Response Call Sign In-Service Time,Last SPD Call Sign In-Service Time,CARE Call Sign Total Service Time (s),Co-Response Call Sign Total Service Time (s),SPD Call Sign Total Service Time (s),Call Sign Total Service Time (s),First CARE Call Sign Dispatch Delay Time (s),First CARE Call Sign Response Time (s),First Co-Response Call Sign Dispatch Delay Time (s),First Co-Response Call Sign Response Time (s),First SPD Call Sign Dispatch Delay Time (s),First SPD Call Sign Response Time (s),Call Sign Dispatch Delay Time (s),Call Sign Response Time (s),Call Sign at Scene Time,CAD Event First Response Time (s),Call Sign In-Service Time,Call Type Indicator,Dispatch Neighborhood,Call Type Received Classification
2024000232365,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - CENTURYLINK STADIUM,ASSIST PUBLIC - OTHER (NON-SPECIFIED),08/18/2024 02:45:17 PM,08/18/2024 02:45:17 PM,WEST,KING,K2,,,,SPD,2024000232365T42,08/18/2024 02:45:17 PM,,,,,08/18/2024 02:45:17 PM,08/18/2024 02:45:17 PM,,,08/19/2024 12:06:38 AM,,,33681,33681,,,,,0,0,0,0,08/18/2024 02:45:17 PM,0,08/19/2024 12:06:38 AM,ONVIEW,-,OFFICER_GENERATED
2024000237057,ASSISTANCE RENDERED,ONVIEW,9,STADIUM EVENT ASSIGNMENT,ASSIGNED DUTY - SEATTLE CENTER EVENT,08/22/2024 03:38:38 PM,08/22/2024 03:38:38 PM,WEST,QUEEN,Q3,,,,SPD,2024000237057T6,08/22/2024 03:38:38 PM,,,,,08/22/2024 03:38:38 PM,08/22/2024 03:38:38 PM,,,08/23/2024 01:58:32 AM,,,37194,37194,,,,,0,0,0,0,08/22/2024 03:38:38 PM,0,08/23/2024 01:58:32 AM,ONVIEW,-,OFFICER_GENERATED
2024000230565,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - HOSPITAL GUARD,ASSIGNED DUTY - HOSPITAL GUARD,08/16/2024 07:39:48 PM,08/16/2024 07:39:48 PM,EAST,GEORGE,G1,,,,SPD,20240002305653E11,08/16/2024 10:00:52 PM,,,,,08/16/2024 07:39:48 PM,08/16/2024 07:39:48 PM,,,08/17/2024 08:03:47 AM,,,47549,24171,,,,,0,0,8464,26829,08/17/2024 03:06:57 AM,0,08/17/2024 04:43:43 AM,ONVIEW,-,OFFICER_GENERATED
2024000229010,ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT","ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT",08/15/2024 12:29:35 PM,08/15/2024 12:29:35 PM,WEST,QUEEN,Q3,,,,SPD,2024000229010CSO21,08/15/2024 12:29:35 PM,,,,,08/15/2024 12:29:35 PM,08/15/2024 12:29:35 PM,,,08/15/2024 03:05:20 PM,,,18690,18690,,,,,0,0,0,0,08/15/2024 12:29:35 PM,0,08/15/2024 03:05:20 PM,ONVIEW,-,OFFICER_GENERATED
2024000239413,ASSISTANCE RENDERED,ONVIEW,9,STADIUM EVENT ASSIGNMENT,TRAFFIC - TRAFFIC CONTROL (SPECIAL EVENTS),08/24/2024 08:57:37 PM,08/24/2024 08:57:37 PM,WEST,KING,K2,,,,SPD,2024000239413T1,08/24/2024 08:57:37 PM,,,,,08/24/2024 08:57:37 PM,08/24/2024 08:57:37 PM,,,08/24/2024 11:39:15 PM,,,9698,9698,,,,,0,0,0,0,08/24/2024 08:57:37 PM,0,08/24/2024 11:39:15 PM,ONVIEW,-,OFFICER_GENERATED
2024000240482,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - DETAIL BY SUPERVISOR,ASSIGNED DUTY - DETAIL BY SUPERVISOR,08/25/2024 09:26:37 PM,08/25/2024 09:26:38 PM,NORTH,UNION,U3,,,,SPD,20240002404823U2,08/25/2024 09:26:38 PM,,,,,08/25/2024 09:26:38 PM,08/25/2024 09:26:38 PM,,,08/25/2024 10:14:21 PM,,,6226,1875,,,,,1,1,1,1,08/25/2024 09:26:38 PM,1,08/25/2024 09:57:53 PM,ONVIEW,-,OFFICER_GENERATED
2024000262601,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - CENTURYLINK STADIUM,ASSIGNED DUTY - CENTURYLINK STADIUM,09/15/2024 11:20:44 AM,09/15/2024 11:20:44 AM,WEST,KING,K2,,,,SPD,2024000262601364,09/15/2024 11:20:44 AM,,,,,09/15/2024 11:20:44 AM,09/15/2024 11:20:44 AM,,,09/15/2024 11:36:55 PM,,,44171,44171,,,,,0,0,0,0,09/15/2024 11:20:44 AM,0,09/15/2024 11:36:55 PM,ONVIEW,-,OFFICER_GENERATED
2024000276458,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - REPORTS,ASSIGNED DUTY - REPORTS,09/28/2024 07:55:51 PM,09/28/2024 07:55:51 PM,EAST,EDWARD,E2,,,,SPD,20240002764583C01,09/28/2024 07:55:51 PM,,,,,09/28/2024 07:55:51 PM,09/28/2024 07:55:51 PM,,,09/28/2024 08:25:53 PM,,,3604,3604,,,,,0,0,0,0,09/28/2024 07:55:51 PM,0,09/28/2024 08:25:53 PM,ONVIEW,-,OFFICER_GENERATED
2024000121942,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,ASSIST PUBLIC - OTHER (NON-SPECIFIED),05/05/2024 08:17:20 AM,05/05/2024 08:17:20 AM,SOUTHWEST,WILLIAM,W2,,,,SPD,2024000121942CSO33,05/05/2024 08:17:20 AM,,,,,05/05/2024 08:17:20 AM,05/05/2024 08:17:20 AM,,,05/05/2024 07:20:30 PM,,,39790,39790,,,,,0,0,0,0,05/05/2024 08:17:20 AM,0,05/05/2024 07:20:30 PM,ONVIEW,-,OFFICER_GENERATED
2024000169837,ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - OTHER ESCORT,ASSIST PUBLIC - OTHER (NON-SPECIFIED),06/22/2024 08:31:00 AM,06/22/2024 08:31:00 AM,NORTH,BOY,B3,,,,SPD,2024000169837T42,06/22/2024 08:31:00 AM,,,,,06/22/2024 08:31:00 AM,06/22/2024 08:31:00 AM,,,06/22/2024 03:48:49 PM,,,26269,26269,,,,,0,0,0,0,06/22/2024 08:31:00 AM,0,06/22/2024 03:48:49 PM,ONVIEW,-,OFFICER_GENERATED
